idx,matchtype,partid,ppartid
196,1,n179,undefined
197,0,n178,n178
198,0,n177,n177
199,0,n176,n175
200,0,n181,n179
201,0,n180,n180
202,0,n182,n181
203,0,n184,n183
204,0,n183,n182
205,0,n186,n185
206,1,n186voice_overlap,undefined
207,0,n185,n184
208,0,n189,n188
209,0,n188,n187
210,0,n187,n186
211,0,n192,n191
212,0,n191,n190
213,0,n190,n189
214,0,n195,n193
215,0,n194,n194
216,0,n193,n192
217,0,n199,n196
218,1,n199voice_overlap,undefined
219,0,n198,n198
220,0,n197,n197
221,0,n196,n195
222,0,n201,n199
223,0,n200,n200
224,0,n202,n201
225,0,n204,n202
226,0,n203,n203
227,0,n206,n205
228,1,n206voice_overlap,undefined
229,0,n205,n204
230,0,n209,n207
231,0,n209,n212
232,0,n208,n208
233,0,n207,n206
234,0,n207,n209
235,0,n211,n210
236,1,n210,undefined
237,1,n214,undefined
238,1,n213,undefined
239,1,n212,undefined
240,0,n217,n215
241,1,n217voice_overlap,undefined
242,0,n216,n216
243,0,n215,n214
244,0,n219,n217
245,0,n219,n221
246,0,n218,n218
247,0,n220,n219
248,1,n223,undefined
249,1,n222,undefined
250,1,n221,undefined
251,0,n226,n224
252,1,n226voice_overlap,undefined
253,0,n225,n225
254,0,n224,n223
255,0,n229,n227
256,0,n229,n231
257,1,n228,undefined
258,1,n227,undefined
259,1,n231,undefined
260,0,n230,n229
261,1,n234,undefined
262,1,n233,undefined
263,0,n232,n232
264,0,n238,n235
265,0,n238,n247
266,1,n238voice_overlap,undefined
267,0,n237,n236
268,0,n236,n237
269,0,n235,n234
270,0,n241,n239
271,0,n241,n244
272,0,n240,n240
273,0,n239,n238
274,0,n243,n242
275,0,n242,n241
276,1,n246,undefined
277,0,n245,n245
278,0,n244,n243
279,1,n249voice_overlap,undefined
280,1,n249,undefined
281,1,n248,undefined
282,0,n247,n246
283,0,n253,n250
284,0,n253,n257
285,1,n252,undefined
286,1,n251,undefined
287,0,n250,n249
288,0,n250,n253
289,1,n256,undefined
290,1,n255,undefined
291,1,n254,undefined
292,1,n260,undefined
293,1,n259,undefined
294,1,n258,undefined
295,1,n257,undefined
296,0,n263voice_overlap,n261
297,0,n263,n269
298,0,n262,n262
299,0,n261,n260
300,0,n265,n264
301,0,n265,n267
302,0,n264,n263
303,1,n266,undefined
304,1,n268,undefined
